t,az
2602.90,5544
2604.88,5738
2606.85,5928
2608.83,6058
2610.80,6114
2612.70,6028
2614.70,5816
2616.70,5504
2618.70,5176
2620.70,4944
2622.60,4834
2624.58,4806
2626.55,4776
2628.53,4736
2630.50,4576
2632.50,4384
2634.48,4346
2636.45,4406
2638.43,4438
2640.40,4466
2642.40,4662
2644.38,5046
2646.35,5482
2648.33,5848
2650.30,6012
2652.30,5952
2654.28,5728
2656.25,5464
2658.23,5256
2660.20,5114
2662.20,5004
2664.18,4874
2666.15,4750
2668.13,4594
2670.10,4452
2672.10,4364
2674.08,4360
2676.05,4408
2678.03,4512
2680.00,4638
2681.90,4800
2683.90,4956
2685.90,5088
2687.90,5210
2689.90,5350
2691.80,5450
2693.78,5506
2695.75,5508
2697.73,5460
2699.70,5384
2701.70,5268
2703.68,5172
2705.65,5112
2707.63,5102
2709.60,5104
2711.60,5158
2713.58,5228
2715.55,5312
2717.53,5382
2719.50,5440
2721.50,5528
2723.48,5604
2725.45,5666
2727.43,5728
2729.40,5790
2731.40,5822
2733.38,5824
2735.35,5792
2737.33,5752
2739.30,5734
2741.30,5706
2743.28,5658
2745.25,5610
2747.23,5572
2749.20,5558
2751.10,5494
2753.10,5432
2755.10,5428
2757.10,5406
2759.10,5388
2761.00,5386
2762.98,5394
2764.95,5388
2766.93,5396
2768.90,5366
2770.90,5368
2772.88,5354
2774.85,5340
2776.83,5332
2778.80,5304
2780.80,5280
2782.78,5260
2784.75,5256
2786.73,5354
2788.70,5354
2790.70,5396
2792.68,5464
2794.65,5616
2796.63,5616
2798.60,5774
2800.60,5774
2802.58,5802
2804.55,5802
2806.53,5738
2808.50,5738
2810.50,5582
2812.48,5520
2814.45,5492
2816.43,5468
2818.40,5456
2820.30,5444
2822.30,5434
2824.30,5416
2826.30,5388
2828.30,5352
2830.20,5322
2832.18,5314
2834.15,5286
2836.13,5256
2838.10,5214
2840.10,5200
2842.08,5170
2844.05,5184
2846.03,5234
2848.00,5250
2850.00,5254
2851.98,5256
2853.95,5258
2855.93,5250
2857.90,5300
2859.90,5348
2861.88,5374
2863.85,5392
2865.83,5396
2867.80,5402
2869.80,5416
2871.78,5406
2873.75,5408
2875.73,5418
2877.70,5442
2879.70,5474
2881.68,5468
2883.65,5500
2885.63,5498
2887.60,5500
2889.50,5532
2891.50,5542
2893.50,5574
2895.50,5584
2897.50,5600
2899.40,5606
2901.38,5580
2903.35,5570
2905.33,5578
2907.30,5574
2909.30,5550
2911.28,5550
2913.25,5536
2915.23,5538
2917.20,5540
2919.20,5526
2921.18,5518
2923.15,5512
2925.13,5514
2927.10,5514
2929.10,5528
2931.08,5552
2933.05,5560
2935.03,5546
2937.00,5538
2939.00,5512
2940.98,5490
2942.95,5468
2944.93,5468
2946.90,5460
2948.90,5434
2950.88,5400
2952.85,5358
2954.83,5316
2956.80,5270
2958.70,5236
2960.70,5172
2962.70,5162
2964.70,5146
2966.70,5136
2968.60,5108
2970.58,5092
2972.55,5120
2974.53,5140
2976.50,5160
2978.50,5180
2980.48,5244
2982.45,5360
2984.43,5508
2986.40,5670
2988.40,5882
2990.38,6078
2992.35,6224
2994.33,6294
2996.30,6254
2998.30,6090
3000.28,5842
3002.25,5570
3004.23,5374
3006.20,5294
3008.20,5266
3010.18,5222
3012.15,5126
3014.13,4924
3016.10,4624
3018.10,4310
3020.08,4004
3022.05,3730
3024.03,3710
3026.00,4080
3027.90,4824
3029.90,5726
3031.90,6506
3033.90,7020
3035.90,7150
3037.80,6926
3039.78,6506
3041.75,6004
3043.73,5502
3045.70,5090
3047.70,4804
3049.68,4650
3051.65,4574
3053.63,4512
3055.60,4542
3057.60,4542
3059.58,4678
3061.55,4836
3063.53,5132
3065.50,5132
3067.50,5380
3069.48,5380
3071.45,5584
3073.43,5584
3075.40,5674
3077.40,5674
3079.38,5552
3081.35,5424
3083.33,5292
3085.30,5188
3087.30,5090
3089.28,5054
3091.25,5082
3093.23,5146
3095.20,5208
3097.10,5292
3099.10,5382
3101.10,5478
3103.10,5594
3105.10,5670
3107.00,5736
3108.98,5806
3110.95,5826
3112.93,5828
3114.90,5794
3116.90,5768
3118.88,5766
3120.85,5754
3122.83,5726
3124.80,5706
3126.80,5700
3128.78,5668
3130.75,5650
3132.73,5666
3134.70,5646
3136.70,5646
3138.68,5640
3140.65,5622
3142.63,5598
3144.60,5574
3146.60,5550
3148.58,5536
3150.55,5512
3152.53,5508
3154.50,5516
3156.50,5510
3158.48,5520
3160.45,5554
3162.43,5570
3164.40,5552
3166.30,5554
3168.30,5554
3170.30,5542
3172.30,5536
3174.30,5566
3176.20,5644
3178.18,5698
3180.15,5766
3182.13,5842
3184.10,5904
3186.10,5920
3188.08,5920
3190.05,5922
3192.03,5878
3194.00,5820
3196.00,5758
3197.98,5708
3199.95,5658
3201.93,5618
3203.90,5582
3205.90,5574
3207.88,5578
3209.85,5566
3211.83,5500
3213.80,5450
3215.80,5418
3217.78,5366
3219.75,5340
3221.73,5294
3223.70,5238
3225.70,5222
3227.68,5202
3229.65,5176
3231.63,5178
3233.60,5200
3235.50,5252
3237.50,5288
3239.50,5324
3241.50,5340
3243.50,5374
3245.40,5418
3247.38,5456
3249.35,5454
3251.33,5466
3253.30,5480
3255.30,5514
3257.28,5552
3259.25,5586
3261.23,5614
3263.20,5656
3265.20,5682
3267.18,5718
3269.15,5730
3271.13,5738
