t,lead_I,lead_II,v3,v4
1399.3,-22739,-42581,14369,-49013
1401.3,-22714,-42502,14281,-49061
1403.3,-22474,-41929,14294,-48993
1405.3,-22147,-41300,14430,-48849
1407.3,-22082,-41587,14446,-48854
1409.3,-22197,-42523,14246,-49051
1411.3,-22073,-42798,14032,-49233
1413.3,-21882,-42256,13985,-49235
1415.3,-22187,-42023,14114,-49055
1417.3,-22863,-42424,14338,-48797
1419.3,-23352,-42709,14510,-48638
1421.3,-23599,-42616,14531,-48649
1423.3,-23680,-42537,14475,-48719
1425.3,-23370,-42544,14405,-48788
1427.3,-22847,-42462,14268,-48936
1429.3,-22689,-42393,14107,-49120
1431.3,-22883,-42481,14075,-49173
1433.3,-22990,-42642,14135,-49134
1435.3,-22991,-42695,14114,-49177
1437.3,-22968,-42480,14049,-49261
1439.3,-22754,-42077,14112,-49207
1441.3,-22505,-41927,14254,-49056
